Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,,,5.4,6.3,670050,11001,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.6,3.3,670050,11001,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,5.9,,,4.5,7.5,670050,11001,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,15.7,,,12.7,19.4,670050,11001,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,41.2,,,36.2,45.8,670050,11001,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.1,,,3.6,4.7,670050,11001,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.2,,,5.2,7.3,670050,11001,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.3,,,63.1,69.3,670050,11001,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.7,,,9.5,12.1,670050,11001,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,56.3,,,52.1,60.6,670050,11001,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,10.2,,,8.6,12.0,670050,11001,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,4,,,3.5,4.5,670050,11001,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,18.4,,,15.9,21.1,670050,11001,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.7,,,4.7,11.2,670050,11001,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.5,,,84.7,90.1,670050,11001,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,24.2,,,19.2,29.8,670050,11001,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,20.7,,,17.9,23.9,670050,11001,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,77,,,74.2,79.6,670050,11001,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.3,,,10.3,14.6,670050,11001,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3,,,2.6,3.5,670050,11001,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.4,,,3.6,5.3,670050,11001,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.4,,,5.0,5.8,670050,11001,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,20.2,,,16.8,23.8,670050,11001,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,41.5,,,36.4,46.2,670050,11001,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.1,,,6.9,9.3,670050,11001,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,85.4,,,83.5,87.2,670050,11001,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,77.4,,,75.2,79.6,670050,11001,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,19.7,,,17.0,22.5,670050,11001,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.1,,,68.1,74.0,670050,11001,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14,,,12.1,16.1,670050,11001,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,67,,,63.9,69.8,670050,11001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.3,7.4,670050,11001,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,69.2,,,63.1,75.1,670050,11001,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,21.1,,,17.8,24.9,670050,11001,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,21.7,,,18.7,25.0,670050,11001,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.7,4.8,670050,11001,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,21.6,,,18.4,25.5,670050,11001,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.8,,,17.3,24.5,670050,11001,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,8.2,,,5.2,11.9,670050,11001,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.2,,,3.4,5.1,670050,11001,HLTHOUT,COPD,CrdPrv,COPD,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,31.7,,,30.4,33.1,670050,11001,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.6,,,11.8,15.5,670050,11001,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.9,670050,11001,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,46.2,,,40.9,51.5,670050,11001,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.2,,,3.6,4.9,670050,11001,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,7.8,,,6.7,9.0,670050,11001,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,85.9,,,84.2,87.6,670050,11001,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,77.2,,,74.5,79.7,670050,11001,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,78.7,,,76.7,80.7,670050,11001,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,70.4,,,64.4,76.1,670050,11001,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29.9,,,26.2,33.7,670050,11001,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.4,,,7.3,9.6,670050,11001,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10.2,,,8.5,12.2,670050,11001,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.8,,,26.1,33.8,670050,11001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.1,,,4.6,7.9,670050,11001,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,11.4,,,8.9,14.2,670050,11001,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.4,3.0,670050,11001,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.7,,,30.4,33.2,670050,11001,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-77.0165167 38.9042474),1049
